no,jenis_ikan,nama_ikan,lokasi,total_kg
18,Demersal,Kuniran,Pulomanuk,2360
19,Demersal,Kurisi,Pulomanuk,3045
20,Pelagis Kecil / Semi-Demersal,Kuro,Pulomanuk,7034
21,Pelagis Besar,Kuwe,Pulomanuk,2500
22,Pelagis Besar,Kuwe Gerong,Pulomanuk,511
23,Pelagis Kecil,Layang,Pulomanuk,1207
24,Pelagis Besar,Layaran,Pulomanuk,298
25,Demersal (Benthopelagis),Layur,Pulomanuk,21780
26,Pelagis Besar,Lemadang,Pulomanuk,7366
27,Karang (Reef-Associated),Lencam,Pulomanuk,299
28,Demersal,Manyung,Pulomanuk,763
29,Pelagis Besar,Marlin,Pulomanuk,583
30,Pelagis Besar,Nyunglas,Pulomanuk,218
31,Demersal (Elasmobranch),Pari,Pulomanuk,858
32,Pelagis Besar,Pedang,Pulomanuk,177
33,Pelagis Kecil / Semi-Demersal,Peperek,Pulomanuk,4046
34,Karang (Reef-Associated),Pinjalo,Pulomanuk,284
35,Pelagis Kecil,Pisang-pisang,Pulomanuk,12222
36,Demersal (Flatfish),Sebelah,Pulomanuk,1243
37,Pelagis Kecil,Selar Bentong,Pulomanuk,7852
38,Pelagis Kecil,Selar Kuning,Pulomanuk,104
39,Karang (Reef-Associated),Swanggi,Pulomanuk,1148
40,Pelagis Besar,Tenggiri,Pulomanuk,263
41,Pelagis Besar,Tenggiri Papan,Pulomanuk,345
42,Pelagis Kecil / Semi-Demersal,Tetengkek,Pulomanuk,1834
43,Pelagis Besar,Tongkol,Pulomanuk,1577
44,Pelagis Besar,Tongkol Abu-abu,Pulomanuk,1391
45,Pelagis Besar,Tongkol Banyar,Pulomanuk,3241
46,Pelagis Besar,Tongkol Komo,Pulomanuk,2658
47,Pelagis Besar,Tongkol Lisong,Pulomanuk,2690
48,Pelagis Besar,Tuna Mata Besar,Pulomanuk,43
49,Pelagis Besar,Tuna Sirip Kuning,Pulomanuk,2965
JUMLAH,,,Pulomanuk,135982
1,Demersal,Ayam-ayam,Sawarna,1211
