jenis_ikan,nama_ikan,tahun,bulan,total_kg,tanggal
Karang (Reef-Associated),Kakap Merah,2019,11,1200,2019-01-11
Pelagis Kecil,Kapas kapas,2019,11,13650,2019-01-11
Pelagis Kecil,Kembung,2019,11,3420,2019-01-11
Karang (Reef-Associated),Kerapu,2019,11,420,2019-01-11
Karang (Reef-Associated),kuwe,2019,11,6900,2019-01-11
Pelagis Besar,layaran,2019,12,27775,2019-01-12
Pelagis Kecil,Layur,2019,12,44550,2019-01-12
Pelagis Besar,Lemadang,2019,12,39875,2019-01-12
Pelagis Besar,Marlin,2019,12,22825,2019-01-12
Demersal,Pari,2019,12,550,2019-01-12
Pelagis Kecil,Peperek,2019,12,550,2019-01-12
Pelagis Besar,Swanggi,2019,12,9075,2019-01-12
Pelagis Kecil,Selar,2019,12,4400,2019-01-12
Pelagis Kecil,Tetengkek,2019,12,1045,2019-01-12
Pelagis Kecil,Tembang,2019,12,0,2019-01-12
Pelagis Besar,Tenggiri,2019,12,64625,2019-01-12
Pelagis Kecil,Layang,2019,12,12650,2019-01-12
Pelagis Besar,Tongkol,2019,12,401225,2019-01-12
