nama_ikan,ds,y
Golok-golok,2023-01-05,21004
Golok-golok,2023-01-06,31164
Golok-golok,2023-01-07,1386
Golok-golok,2023-01-08,37818
Golok-golok,2023-01-10,79688
Golok-golok,2023-01-11,77865
Gulamah,2023-01-01,1230
Gulamah,2023-01-02,10295
Gulamah,2023-01-03,12915
Gulamah,2023-01-04,58425
Gulamah,2023-01-05,511928
Gulamah,2023-01-06,34132
Gulamah,2023-01-07,3861
Gulamah,2023-01-08,69432
Gulamah,2023-01-10,253568
Gulamah,2023-01-11,22185
Gulamah/Tigawaja/Samgeh,2019-01-01,6195
Gulamah/Tigawaja/Samgeh,2019-01-02,4095
Gulamah/Tigawaja/Samgeh,2019-01-03,2625
Gulamah/Tigawaja/Samgeh,2019-01-04,1376
Gulamah/Tigawaja/Samgeh,2019-01-05,1088
Gulamah/Tigawaja/Samgeh,2019-01-06,1728
Gulamah/Tigawaja/Samgeh,2019-01-07,2370
Gulamah/Tigawaja/Samgeh,2019-01-08,5685
Gulamah/Tigawaja/Samgeh,2019-01-09,6300
Gulamah/Tigawaja/Samgeh,2019-01-10,4500
Gulamah/Tigawaja/Samgeh,2019-01-11,2880
Gulamah/Tigawaja/Samgeh,2020-01-01,3791
Gulamah/Tigawaja/Samgeh,2020-01-02,3780
Gulamah/Tigawaja/Samgeh,2020-01-03,3560
Gulamah/Tigawaja/Samgeh,2020-01-04,3937
Gulamah/Tigawaja/Samgeh,2020-01-05,4005
Gulamah/Tigawaja/Samgeh,2020-01-06,3640
Gulamah/Tigawaja/Samgeh,2020-01-07,4056
Gulamah/Tigawaja/Samgeh,2020-01-08,3737
Gulamah/Tigawaja/Samgeh,2020-01-09,3560
Gulamah/Tigawaja/Samgeh,2020-01-10,4020
Gulamah/Tigawaja/Samgeh,2020-01-11,3646
Gulamah/Tigawaja/Samgeh,2020-01-12,3756
Gulamah/Tigawaja/Samgeh,2021-01-01,4300
Gulamah/Tigawaja/Samgeh,2021-01-02,3000
Gulamah/Tigawaja/Samgeh,2021-01-03,2000
Gulamah/Tigawaja/Samgeh,2021-01-04,1425
Gulamah/Tigawaja/Samgeh,2021-01-05,1750
Gulamah/Tigawaja/Samgeh,2021-01-06,1000
Gulamah/Tigawaja/Samgeh,2021-01-07,3250
Gulamah/Tigawaja/Samgeh,2021-01-08,2375
Gulamah/Tigawaja/Samgeh,2021-01-09,3000
Gulamah/Tigawaja/Samgeh,2021-01-10,3250
Gulamah/Tigawaja/Samgeh,2021-01-11,3500
Gulamah/Tigawaja/Samgeh,2021-01-12,3550
Gulamah/Tigawaja/Samgeh,2022-01-01,6435
